student_id,event_name,attendance_status,event_id
S224,Swimming,Absent,E08
S225,Football,Absent,E01
S226,Athletics,Absent,E07
S227,Volleyball,Absent,E09
S228,Volleyball,Absent,E09
S229,Swimming,Absent,E08
S230,Football,Present,E01
S231,Cricket,Present,E03
S232,Basketball,Present,E02
S233,Athletics,Present,E07
S234,Athletics,Present,E07
S235,Chess,Absent,E06
S236,Chess,Present,E06
S237,Tennis,Absent,E10
S238,Volleyball,Absent,E09
S239,Volleyball,Present,E09
S240,Chess,Absent,E06
S241,Tennis,Absent,E10
S242,Chess,Present,E06
S243,Table Tennis,Absent,E05
S244,Table Tennis,Absent,E05
S245,Badminton,Absent,E04
S246,Table Tennis,Present,E05
S247,Volleyball,Present,E09
S248,Swimming,Absent,E08
S249,Swimming,Absent,E08
S250,Table Tennis,Present,E05
S251,Football,Absent,E01
S252,Tennis,Absent,E10
S253,Football,Absent,E01
S254,Basketball,Present,E02
S255,Basketball,Absent,E02
S256,Badminton,Absent,E04
S257,Athletics,Present,E07
S258,Cricket,Absent,E03
S259,Swimming,Absent,E08
S260,Football,Present,E01
S261,Basketball,Absent,E02
S262,Badminton,Present,E04
S263,Swimming,Present,E08
S264,Table Tennis,Present,E05
S265,Chess,Absent,E06
S266,Badminton,Absent,E04
S267,Volleyball,Absent,E09
S268,Athletics,Absent,E07
S269,Volleyball,Absent,E09
S270,Basketball,Absent,E02
S271,Basketball,Present,E02
S272,Volleyball,Present,E09
S273,Basketball,Present,E02
S274,Tennis,Present,E10
S275,Chess,Present,E06
S276,Basketball,Absent,E02
S277,Tennis,Present,E10
S278,Table Tennis,Present,E05
S279,Athletics,Absent,E07
S280,Tennis,Absent,E10
S281,Cricket,Absent,E03
S282,Football,Absent,E01
S283,Basketball,Absent,E02
S284,Badminton,Present,E04
S285,Badminton,Absent,E04
S286,Basketball,Absent,E02
S287,Football,Present,E01
S288,Basketball,Present,E02
S289,Volleyball,Absent,E09
S290,Tennis,Present,E10
S291,Athletics,Absent,E07
S292,Basketball,Present,E02
S293,Badminton,Absent,E04
S294,Badminton,Present,E04
S295,Badminton,Present,E04
S296,Tennis,Absent,E10
S297,Swimming,Absent,E08
S298,Swimming,Absent,E08
S299,Table Tennis,Present,E05
S300,Athletics,Present,E07
S301,Tennis,Absent,E10
S302,Cricket,Absent,E03
S303,Tennis,Present,E10
S304,Chess,Present,E06
S305,Table Tennis,Present,E05
S306,Table Tennis,Present,E05
S307,Tennis,Absent,E10
S308,Badminton,Absent,E04
S309,Football,Present,E01
S310,Football,Absent,E01
S311,Badminton,Absent,E04
S312,Basketball,Absent,E02
S313,Chess,Present,E06
S314,Swimming,Absent,E08
S315,Basketball,Absent,E02
S316,Athletics,Absent,E07
S317,Badminton,Absent,E04
S318,Swimming,Present,E08
S319,Cricket,Present,E03
S320,Basketball,Present,E02
S321,Football,Absent,E01
S322,Badminton,Present,E04
S323,Tennis,Present,E10
S324,Badminton,Present,E04
S325,Chess,Present,E06
S326,Athletics,Present,E07
S327,Athletics,Absent,E07
S328,Chess,Absent,E06
S329,Basketball,Present,E02
S330,Swimming,Present,E08
S331,Athletics,Present,E07
S332,Swimming,Present,E08
S333,Volleyball,Present,E09
S334,Swimming,Absent,E08
S335,Football,Present,E01
S336,Basketball,Present,E02
S337,Basketball,Absent,E02
S338,Tennis,Present,E10
S339,Swimming,Present,E08
S340,Football,Present,E01
S341,Athletics,Absent,E07
S342,Volleyball,Absent,E09
S343,Volleyball,Absent,E09
S344,Table Tennis,Present,E05
S345,Cricket,Present,E03
S346,Chess,Absent,E06
S347,Table Tennis,Present,E05
S348,Volleyball,Present,E09
S349,Athletics,Present,E07
S350,Table Tennis,Present,E05
S351,Swimming,Present,E08
S352,Chess,Absent,E06
S353,Table Tennis,Absent,E05
S354,Tennis,Present,E10
S355,Athletics,Absent,E07
S356,Football,Absent,E01
S357,Cricket,Absent,E03
S358,Chess,Absent,E06
S359,Tennis,Absent,E10
S360,Chess,Absent,E06
S361,Basketball,Absent,E02
S362,Badminton,Present,E04
S363,Badminton,Absent,E04
S364,Athletics,Absent,E07
S365,Tennis,Present,E10
S366,Volleyball,Absent,E09
S367,Football,Absent,E01
S368,Basketball,Absent,E02
S369,Table Tennis,Absent,E05
S370,Cricket,Present,E03
S371,Football,Present,E01
S372,Badminton,Present,E04
S373,Athletics,Absent,E07
S374,Athletics,Absent,E07
S375,Football,Absent,E01
S376,Tennis,Present,E10
S377,Volleyball,Present,E09
S378,Chess,Absent,E06
S379,Cricket,Present,E03
S380,Volleyball,Absent,E09
S381,Football,Absent,E01
S382,Cricket,Absent,E03
S383,Tennis,Absent,E10
S384,Basketball,Absent,E02
S385,Football,Absent,E01
S386,Volleyball,Present,E09
S387,Tennis,Absent,E10
S388,Tennis,Absent,E10
S389,Cricket,Absent,E03
S390,Volleyball,Present,E09
S391,Table Tennis,Absent,E05
S392,Swimming,Present,E08
S393,Chess,Present,E06
S394,Volleyball,Present,E09
S395,Athletics,Present,E07
S396,Football,Absent,E01
S397,Cricket,Absent,E03
S398,Chess,Present,E06
S399,Tennis,Absent,E10
S400,Football,Absent,E01
S401,Chess,Present,E06
S402,Swimming,Present,E08
S403,Badminton,Absent,E04
S404,Tennis,Present,E10
S405,Volleyball,Present,E09
S406,Chess,Present,E06
S407,Swimming,Present,E08
S408,Basketball,Absent,E02
S409,Volleyball,Absent,E09
S410,Tennis,Absent,E10
S411,Football,Present,E01
S412,Volleyball,Absent,E09
S413,Volleyball,Absent,E09
S414,Tennis,Present,E10
S415,Volleyball,Present,E09
S416,Football,Present,E01
S417,Swimming,Present,E08
S418,Football,Absent,E01
S419,Badminton,Absent,E04
S420,Basketball,Absent,E02
S421,Cricket,Present,E03
S422,Chess,Absent,E06
S423,Football,Absent,E01
S424,Football,Present,E01
S425,Cricket,Absent,E03
S426,Tennis,Present,E10
S427,Volleyball,Present,E09
S428,Chess,Absent,E06
S429,Badminton,Absent,E04
S430,Basketball,Present,E02
S431,Basketball,Present,E02
S432,Basketball,Absent,E02
S433,Basketball,Absent,E02
S434,Basketball,Present,E02
S435,Football,Present,E01
S436,Tennis,Absent,E10
S437,Badminton,Absent,E04
S438,Volleyball,Present,E09
S439,Volleyball,Present,E09
S440,Cricket,Present,E03
S441,Basketball,Absent,E02
S442,Cricket,Present,E03
S443,Chess,Present,E06
S444,Tennis,Absent,E10
S445,Basketball,Absent,E02
S446,Swimming,Absent,E08
S447,Football,Present,E01
S448,Badminton,Present,E04
S449,Chess,Absent,E06
S450,Athletics,Absent,E07
S451,Athletics,Present,E07
S452,Cricket,Present,E03
S453,Badminton,Present,E04
S454,Cricket,Present,E03
S455,Athletics,Absent,E07
S456,Athletics,Absent,E07
S457,Football,Absent,E01
S458,Tennis,Present,E10
S459,Basketball,Present,E02
S460,Football,Present,E01
S461,Basketball,Present,E02
S462,Football,Present,E01
S463,Tennis,Absent,E10
S464,Football,Present,E01
S465,Football,Absent,E01
S466,Swimming,Present,E08
S467,Basketball,Present,E02
S468,Basketball,Absent,E02
S469,Swimming,Absent,E08
S470,Badminton,Present,E04
S471,Swimming,Present,E08
S472,Cricket,Present,E03
S473,Swimming,Present,E08
S474,Chess,Present,E06
S475,Chess,Absent,E06
S476,Basketball,Absent,E02
S477,Chess,Absent,E06
S478,Tennis,Present,E10
S479,Badminton,Present,E04
S480,Football,Present,E01
S481,Volleyball,Absent,E09
S482,Tennis,Present,E10
S483,Swimming,Absent,E08
S484,Athletics,Present,E07
S485,Football,Present,E01
S486,Basketball,Present,E02
S487,Cricket,Absent,E03
S488,Badminton,Absent,E04
S489,Athletics,Present,E07
S490,Volleyball,Present,E09
S491,Badminton,Absent,E04
S492,Cricket,Present,E03
S493,Table Tennis,Absent,E05
S494,Tennis,Absent,E10
S495,Basketball,Present,E02
S496,Volleyball,Present,E09
S497,Swimming,Present,E08
S498,Badminton,Present,E04
S499,Chess,Present,E06
S500,Athletics,Present,E07
